sku,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,website_id,additional_images,additional_image_labels,njm_sku,njm_name,dimensions
nl-000689,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Adams armchair,Our well padded Adams armchair features a modern silhouette and makes a comfortable seating option and accent chair for the home's living area. It is available in two wool blend upholstery options of dark grey (with matte black legs) or navy blue (with chrome legs).,100,1,Taxable Goods,"Catalog, Search",1229,/1/8/18n-hgsc116.jpg,,/1/8/18n-hgsc116.jpg,,/1/8/18n-hgsc116.jpg,,1000,1,0,/1/8/18n-hgsc116.jpg,,18N-HGSC116,knickerbocker armchair,"32æ"" x 35""Ω"" x 32æ"""
nl-000687,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Addison armchair,"Available in three upholstery shades, our Addison armchair and sofa offer practical and comfortable options for the modern living room seating area. The compact Addison armchair sits on legs of brushed stainless steel.",100,1,Taxable Goods,"Catalog, Search",1099,/1/8/18n-hgsc105.jpg,,/1/8/18n-hgsc105.jpg,,/1/8/18n-hgsc105.jpg,,1000,1,0,/1/8/18n-hgsc105.jpg,,18N-HGSC105,kingston armchair,"30æ"" x 35"" x 33""Ω"""
nl-000688,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Style Sofas",base,Addison sofa,"Available in three upholstery shades, our Addison armchair and sofa offer practical and comfortable options for the modern living room seating area. The compact Addison sofa sits on legs of brushed stainless steel.",175,1,Taxable Goods,"Catalog, Search",2099,/1/8/18n-hgsc108-1.jpg,,/1/8/18n-hgsc108-1.jpg,,/1/8/18n-hgsc108-1.jpg,,1000,1,0,"/1/8/18n-hgsc108.jpg,/1/8/18n-hgsc108-1.jpg",,18N-HGSC108,kingston sofa,"86""Ω"" x 35"" x 33""Ω"""
bg-000070,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Airmont sideboard,"The Airmont sideboard is made of teak wood, featuring high quality handmade craftsmanship. Architecturally clean and simple lines, detailed handles and defined drawers make this piece timeless by design. Plenty of interior storage and adjustable shelving makes it highly versatile in use. 
<br>Teak: We use reclaimed teak as material for making our sideboards, in addition to superior quality wood, using these materials are very useful in the problem of global climate changes. As well as being environmentally friendly. All the teak wood is individual to the piece and no two pieces are alike.",150,1,Taxable Goods,"Catalog, Search",2699,/0/7/07_zpsebb94683_1024x1024_3.jpg,,/0/7/07_zpsebb94683_1024x1024_3.jpg,,/0/7/07_zpsebb94683_1024x1024_3.jpg,,1000,1,0,"/0/7/07_zpsebb94683_1024x1024.jpg,/0/7/07a_zpsdf3e6a9d_1024x1024.jpg,/0/7/07b_zps7cf4f9d7_1024x1024.jpg,/0/7/07c_zps8697374f_1024x1024.jpg,/0/7/07_zpsebb94683_1024x1024_1.jpg,/0/7/07_zpsebb94683_1024x1024_2.jpg,/0/7/07_zpsebb94683_1024x1024_3.jpg",,02B-BG381,prospect sideboard,69w x 18d x 30h
tf-001049,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Akron amrchair,"A+D Modern's Akron armchair is both easy and inviting with clean lines that create an instantly modern look. Upholstered in an elegant, shimmering, metallic linen and completed with a geometric pattern lumbar cushion, its sophisticated golden stainless steel frame looks sensational from any angle. Also available in luxurious pink or gray velvet, with accompanying cushion.",65,1,Taxable Goods,"Catalog, Search",999,/2/5/25t-tov-s6103.jpg,,/2/5/25t-tov-s6103.jpg,,/2/5/25t-tov-s6103.jpg,,1000,1,0,"/2/5/25t-tov-s6103-2.jpg,/2/5/25t-tov-s6103-3.jpg,/2/5/25t-tov-s6103-1.jpg,/2/5/25t-tov-s6103.jpg,/t/o/tov-s6142-1_1.jpg,/t/o/tov-s6143-1_1.jpg",,25T-TOV-S6103,martense armchair,"27""W x 34""D x 31""H"
zm-001215,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Alabama accent chair,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The gently sloped angles of our Alabama accent chair offer a comfortably versatile seating option for a range of spaces in your home.,38,1,Taxable Goods,"Catalog, Search",659,/2/9/29z-100784.jpg,,/2/9/29z-100784.jpg,,/2/9/29z-100784.jpg,,1000,1,0,"/1/0/100784-2-650x650.jpg,/2/9/29z-100784.jpg,/1/0/100784_lifestyle-650x650.jpg,/1/0/100784-4-650x650.jpg,/1/0/100784-3-650x650.jpg,/1/0/100784-5-650x650.jpg",,29Z-100784,norwood accent chair,"W25"" x H26.4"" x L28.3"""
zm-001203,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Benches",base,Alabama bench,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Our linear Alabama bench offers a versatile perching place for your home's entry way, mudroom, bedroom and more.",39,1,Taxable Goods,"Catalog, Search",459,/2/9/29z-100589.jpg,,/2/9/29z-100589.jpg,,/2/9/29z-100589.jpg,,1000,1,0,"/2/9/29z-100589.jpg,/1/0/100589-3-650x650.jpg,/1/0/100589-2-650x650.jpg",,29Z-100589,norwood bench,"W62.2 x H18.1 x L16.9"""
zm-001206,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Alabama buffet,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama buffet's three cupboard doors offer ample storage to tidy away dinner pieces, books, toys and more, and works just as well in your dining room as your home office.",120,1,Taxable Goods,"Catalog, Search",1599,/2/9/29z-100592.jpg,,/2/9/29z-100592.jpg,,/2/9/29z-100592.jpg,,1000,1,0,"/1/0/100592-2-650x650.jpg,/1/0/100592-3-650x650.jpg,/2/9/29z-100592.jpg,/1/0/100592-4-650x650.jpg,/1/0/100592-6-650x650.jpg,/1/0/100592-5-650x650.jpg,/1/0/100592-8-650x650.jpg",,29Z-100592,norwood buffet,"W59.8 x H31.5 x L18.1"""
zm-001204,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Coffee Tables",base,Alabama coffee table,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama coffee table's open shelf and sliding panel door provide versatile storage space for keeping your living room clutter-free and looking good.,75,1,Taxable Goods,"Catalog, Search",999,/2/9/29z-100590.jpg,,/2/9/29z-100590.jpg,,/2/9/29z-100590.jpg,,1000,1,0,"/1/0/100590-3-650x650.jpg,/1/0/100590-2-650x650.jpg,/2/9/29z-100590.jpg,/1/0/100590-6-650x650.jpg,/1/0/100590-5-650x650.jpg,/1/0/100590-4-650x650.jpg,/1/0/100590-8-650x650.jpg,/1/0/100590-9-650x650.jpg,/1/0/100590-10-650x650.jpg",,29Z-100590,norwood coffee table,"W47.2 x H18.1 x L23.6"""
zm-001205,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Alabama console table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama console table's open shelving provides versatile storage space for displaying books, home decor, and more, and works just as well in your living room as your home office.",58,1,Taxable Goods,"Catalog, Search",899,/2/9/29z-100591.jpg,,/2/9/29z-100591.jpg,,/2/9/29z-100591.jpg,,1000,1,0,"/2/9/29z-100591.jpg,/1/0/100591-2-650x650.jpg,/1/0/100591_lifestyle-650x650.jpg,/1/0/100591-3-650x650.jpg,/1/0/100591-4-650x650.jpg",,29Z-100591,norwood console table,"W44.1 x H29.9 x L15"""
