sku,name,price,description,short_description,weight,categories,base_image,thumbnail_image,small_image,additional_images,additional_attributes,attribute_set_code,product_type,product_websites,product_online,tax_class_name,visibility,qty,is_in_stock,website_id
ae-000001,"Franklin barstool",649,"This comfortable Franklin barstool is a reproduction of a classic 1960 design. It is upholstered in top grain leather and features a gentle curve lip on the seat back for extra comfort. The sturdy, solid hardwood frame is available in either a walnut finish with black leather, or, white leather with a natural American ash finish. With a timeless style that pays tribute to original, these highly versatile stools are suitable for residential or commercial use.","This comfortable Franklin barstool is a reproduction of a classic 1960 design. It is upholstered in top grain leather and features a gentle curve lip on the seat back for extra comfort. The sturdy, solid hardwood frame is available in either a walnut finish with black leather, or, white leather with a natural American ash finish. With a timeless style that pays tribute to original, these highly versatile stools are suitable for residential or commercial use.",20,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",/b/u/buch_counter_stool_02.jpg,/b/u/buch_counter_stool_02.jpg,/b/u/buch_counter_stool_02.jpg,"/c/h/ch7279a-pic1.jpg,/0/1/01a-bs7279b.jpg,/b/u/buch_counter_stool_01.jpg,/b/u/buch_counter_stool_02.jpg,/b/u/buch_counter_stool_02_walnut_0.jpg,/b/u/buch_counter_stool_03_0.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-BS7279B,njm_name=erik buck barstool,dimensions=<p>33 5/8""H x 15 3/4""W x 17 3/4""D</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000002,"Franklin stool",549,"This comfortable Franklin stool is a reproduction of a classic 1960 design. It is upholstered in top grain leather and features a gentle curve lip on the seat back for extra comfort. The sturdy, solid hardwood frame is available in selection of wood and leather finishes. With a timeless style that pays tribute to original, these highly versatile stools are suitable for residential or commercial use.","This comfortable Franklin stool is a reproduction of a classic 1960 design. It is upholstered in top grain leather and features a gentle curve lip on the seat back for extra comfort. The sturdy, solid hardwood frame is available in selection of wood and leather finishes. With a timeless style that pays tribute to original, these highly versatile stools are suitable for residential or commercial use.",20,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",/b/u/buckstool3_4.jpg,/b/u/buckstool3_4.jpg,/b/u/buckstool3_4.jpg,"/b/u/buckstool3.jpg,/0/1/01a-bs7280a-maple-leather.jpg,/b/u/buckstool3_2.jpg,/b/u/buckstool3_3.jpg,/b/u/buckstool3_4.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-BS7280A,njm_name=erik buck stool,dimensions=<p>15.75""w x 15""d x 26""h</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000003,"Hebron jewelery chest",979,"Our Hebron chests are George Nelson inspired replicas. The Hebron jewelery chest is crafted in walnut veneer and a white painted aluminum pedestal base. Reminiscent of tansu (traditional Japanese cabinetry), this collectible chest stores all kinds of things and makes an interesting addition to nearly any room - whether at home or the office.","Our Hebron chests are George Nelson inspired replicas. The Hebron jewelery chest is crafted in walnut veneer and a white painted aluminum pedestal base. Reminiscent of tansu (traditional Japanese cabinetry), this collectible chest stores all kinds of things and makes an interesting addition to nearly any room - whether at home or the office.",56,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",/0/1/01a-cg9164-01_3.jpg,/0/1/01a-cg9164-01_3.jpg,/0/1/01a-cg9164-01_3.jpg,"/i/m/img_4021.jpg,/i/m/img_4018.jpg,/0/1/01a-cg9164-02.jpg,/0/1/01a-cg9164-01.jpg,/0/1/01a-cg9164-01_1.jpg,/0/1/01a-cg9164-01_2.jpg,/0/1/01a-cg9164-01_3.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CG9164-01,njm_name=george nelson inspired jewelry chest,dimensions=<p>10.5""w x 13.5""d x 43.5""h</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000004,"Hebron six drawer chest",979,"Our Hebron chests are George Nelson inspired replicas. The Hebron six drawer chest is crafted in walnut veneer and a white painted aluminum pedestal base. Reminiscent of tansu (traditional Japanese cabinetry), this collectible chest stores all kinds of things and makes an interesting addition to nearly any room - whether at home or the office.","Our Hebron chests are George Nelson inspired replicas. The Hebron six drawer chest is crafted in walnut veneer and a white painted aluminum pedestal base. Reminiscent of tansu (traditional Japanese cabinetry), this collectible chest stores all kinds of things and makes an interesting addition to nearly any room - whether at home or the office.",47,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",/c/g/cg9165-03_4.jpg,/c/g/cg9165-03_4.jpg,/c/g/cg9165-03_4.jpg,"/c/g/cg9165-03.jpg,/c/g/cg9165-01.jpg,/c/g/cg9165-03_2.jpg,/c/g/cg9165-03_3.jpg,/c/g/cg9165-03_4.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CG9165,njm_name=george nelson inspired six drawer chest,dimensions=<p>30""w x 13.5""d x 26""h</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000005,"Elma armchair",1399,"The Elma chair is our replica of a classic design, and its simple lines make a perfect addition to any home or office seating space. This armchair comes in soft full grain Italian leather with a premium stainless steel frame. High density polyurethane memory foam inside the unique cushions makes this chair extremely comfortable.","The Elma chair is our replica of a classic design, and its simple lines make a perfect addition to any home or office seating space. This armchair comes in soft full grain Italian leather with a premium stainless steel frame. High density polyurethane memory foam inside the unique cushions makes this chair extremely comfortable.",65,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",/1/8/180a_4.jpg,/1/8/180a_4.jpg,/1/8/180a_4.jpg,"/1/8/180a.jpg,/1/8/180f.jpg,/1/8/180a_2.jpg,/1/8/180a_3.jpg,/1/8/180a_4.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH3008B,njm_name=eileen gray bibendum chair,dimensions=<p>36""L x 33""W x 34""H </p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000006,"Depeyster dining chair - metal",429,"Our Denning dining chair with metal legs is a reproduction of the classic DCM metal dining chair. It has a slightly lower and has a wider seat and back than the molded plywood dining chair. Sculpted with gentle curves, it gives the hard material a soft, inviting appearance while the molded shape is designed to comfortably fit the body. This chair is made with multi-ply seat and back plates in a natural veneer, and a polished chrome-plated leg base with self-leveling nylon glides and shock mounts to absorb movement.","Our Denning dining chair with metal legs is a reproduction of the classic DCM metal dining chair. It has a slightly lower and has a wider seat and back than the molded plywood dining chair. Sculpted with gentle curves, it gives the hard material a soft, inviting appearance while the molded shape is designed to comfortably fit the body. This chair is made with multi-ply seat and back plates in a natural veneer, and a polished chrome-plated leg base with self-leveling nylon glides and shock mounts to absorb movement.",27,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",/2/6/263b_4.jpg,/2/6/263b_4.jpg,/2/6/263b_4.jpg,"/0/3/03c-s-fec6504walnut.jpg,/0/3/03c-s-fec6504walnut-2.jpg,/2/6/263b_4.jpg,/d/c/dcm_01_walnut.jpg,/d/c/dcm_02.jpg,/d/c/dcm_05.jpg,/d/c/dcm_06.jpg,/d/c/dcm_04.jpg,/d/c/dcm_03.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH4056,njm_name=eaze dining chair metal - DCM,dimensions=<p>H29.5"" x W20.5"" x D20.5""<br />Seat Height: 17.5""</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000007,"Deposit dining chair - padded",549,"Our Deposit chair collection includes reproductions of the classic DCW dining chair and LCW lounge chairs, which make stylish additions to the modern home or office as comfortable multi-purpose pieces that cradle the user. This Deposit dining chair is slightly taller and has a narrower seat and back than Deposit accent chair, and is crafted from a molded plywood frame with various options of wood veneer. It features a padded seat and back in a selection of fine leathers. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.","Our Deposit chair collection includes reproductions of the classic DCW dining chair and LCW lounge chairs, which make stylish additions to the modern home or office as comfortable multi-purpose pieces that cradle the user. This Deposit dining chair is slightly taller and has a narrower seat and back than Deposit accent chair, and is crafted from a molded plywood frame with various options of wood veneer. It features a padded seat and back in a selection of fine leathers. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.",27,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs",/e/a/eameswoodblack.jpg,/e/a/eameswoodblack.jpg,/e/a/eameswoodblack.jpg,"/e/a/eameswoodblack.jpg,/2/6/262a.jpg,/2/6/262c.jpg,/0/1/01a-ch4059-amwalnut-pv001.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH4058,njm_name=eaze wood padded chair - DCW,dimensions=<p>21.75""w x 22.75""d x 27.5""h<br />
Seat Height: 15""</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000008,"Deposit accent chair - pony cowhide",769,"Our Deposit chair collection includes reproductions of the classic DCW dining chair and LCW lounge chairs, which make stylish additions to the modern home or office as comfortable multi-purpose pieces that cradle the user. This Deposit accent chair is slightly lower and has a wider seat and back than Deposit dining chair, and is crafted from a molded plywood frame. The seat and back plates are clad in genuine cow-hide and are one-of-a-kind piece due to the unique natural pattern variations. Also available separately with a wood veneer or painted frame. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.","Our Deposit chair collection includes reproductions of the classic DCW dining chair and LCW lounge chairs, which make stylish additions to the modern home or office as comfortable multi-purpose pieces that cradle the user. This Deposit accent chair is slightly lower and has a wider seat and back than Deposit dining chair, and is crafted from a molded plywood frame. The seat and back plates are clad in genuine cow-hide and are one-of-a-kind piece due to the unique natural pattern variations. Also available separately with a wood veneer or painted frame. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.",27,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs",/1/8/183d_4.jpg,/1/8/183d_4.jpg,/1/8/183d_4.jpg,"/1/8/183b.jpg,/1/8/183d_4.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH4059,njm_name=eaze living room chair wood - LCW pony,dimensions=<p>21.75""w x 22.5""d x 27.5""h</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000009,"Geneva counter stool - leather",399,"Our Geneva furniture collection is designed after the classic mid-century designer pieces. This Geneva counter stool comes in quality leather upholstery and is crafted with distinct, individually sewn square tuft detail over its padded seat cushion. It is made with a heavy guage steel, polished chrome frame with a footrest for both stability and comfort, and is perfect for formal or casual settings including office and private home kitchen or entertaining areas. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.","Our Geneva furniture collection is designed after the classic mid-century designer pieces. This Geneva counter stool comes in quality leather upholstery and is crafted with distinct, individually sewn square tuft detail over its padded seat cushion. It is made with a heavy guage steel, polished chrome frame with a footrest for both stability and comfort, and is perfect for formal or casual settings including office and private home kitchen or entertaining areas. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.",40,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",/c/h/ch5069_5.jpg,/c/h/ch5069_5.jpg,/c/h/ch5069_5.jpg,"/c/h/ch5069.jpg,/c/h/ch5069_3.jpg,/c/h/ch5069_4.jpg,/c/h/ch5069_5.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH5069A,njm_name=florence counter stool - leather,dimensions=<p>14.5""w x 14.5""d x 30""h</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
ae-000015,"DeWitt fiberglass shell armchair - eiffel base",379,"A and D Modern's DeWitt collection features quality reproductions of the mid-century classic, shell chair design. Available in a wide range of colors, materials, and leg configurations, our DeWitt chairs provide practical seating options for both residential and commercial spaces - from the modern home's dining room or children's bedroom, to the office meeting or waiting room. This fiberglass DeWitt armchair with Eiffel base is true to the original specifications, and is available in a variety of shell seat colors. The polished stainless steel legs with Eiffel-style stainless steel bracing add additional stability to this armchair, while the plastic feet runners protect flooring surfaces from scratching. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.","A and D Modern's DeWitt collection features quality reproductions of the mid-century classic, shell chair design. Available in a wide range of colors, materials, and leg configurations, our DeWitt chairs provide practical seating options for both residential and commercial spaces - from the modern home's dining room or children's bedroom, to the office meeting or waiting room. This fiberglass DeWitt armchair with Eiffel base is true to the original specifications, and is available in a variety of shell seat colors. The polished stainless steel legs with Eiffel-style stainless steel bracing add additional stability to this armchair, while the plastic feet runners protect flooring surfaces from scratching. If you have a specific requirement for a project, we’re happy to help. Please contact one of our professionals to discuss your requirements.",20,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",/e/a/eamesfiber5.jpg,/e/a/eamesfiber5.jpg,/e/a/eamesfiber5.jpg,"/e/a/eamesfiber5.jpg,/0/3/03c-s-dc311gbl.jpg,/0/3/03c-s-dc311gbk.jpg,/0/3/03c-s-dc311gred.jpg,/0/3/03c-s-dc311ggr.jpg","quantity_and_stock_status=In Stock,custom_order=No,fast_ship=No,njm_sku=01A-CH6127,njm_name=eaze fiberglass shell armchair - eiffel base,dimensions=<p>W24"" x D23"" x H31""</p>",customOptionsSet,simple,base,1,"Taxable Goods","Catalog, Search",1000,1,1
